start,end,duration_hours,mean_cf,min_cf,mean_cf_ma,mean_solar_cf,mean_wind_cf,severity
1997-01-04 17:00:00,1997-01-12 09:00:00,185,0.029117786557395584,0.0006214689969783649,0.032795785049278346,0.032591838389635086,0.02437895136152176,5.713209486881817
1997-01-14 16:00:00,1997-01-22 11:00:00,188,0.03718718154982525,0.0005595372224925086,0.03892034703666909,0.03962428867816925,0.0338628167643192,4.288809868632853
1997-01-22 22:00:00,1997-01-30 04:00:00,175,0.039159296604677686,0.0013473231774114537,0.041879238105422635,0.03907964751124382,0.0392679363647674,3.6471230941814046
1997-12-19 11:00:00,1997-12-24 07:00:00,117,0.03242386749848161,0.00011364863516064361,0.03520268323798571,0.019639665260910988,0.04986236759639801,3.226407502677651
1997-11-28 22:00:00,1997-12-05 15:00:00,162,0.04033329640704155,0.0033081575911492107,0.041179740295271466,0.025571078062057495,0.06046993079337669,3.1860059820592683
1997-11-11 14:00:00,1997-11-17 06:00:00,137,0.041725782688937375,0.004255126663483679,0.04570118103305069,0.03035178780555725,0.057240663294462445,2.5035677716155793
1997-11-21 07:00:00,1997-11-25 18:00:00,108,0.03766787830079448,0.003340118508785963,0.03697767735719884,0.03645242750644684,0.03932583989932182,2.411869143514196
1997-12-27 18:00:00,1997-12-31 23:00:00,102,0.043777653649435665,0.004143932696431875,0.04438777669231723,0.026531493291258812,0.06730254850489029,1.654679327757562
1997-01-01 00:00:00,1997-01-02 21:00:00,46,0.039671980187697284,0.0022892310619354247,0.041918787300605435,0.043009813874959946,0.03511894969864095,0.9350889113659249
1997-02-01 01:00:00,1997-02-03 04:00:00,52,0.05309439361715898,0.007153826549649239,0.05497165119243162,0.06456946581602097,0.03744163514768824,0.3590915319077329
1997-10-15 09:00:00,1997-10-16 23:00:00,39,0.05378122815634841,0.007630133396713063,0.05233185043231018,0.07064437866210938,0.030778762032376963,0.24253210190241203
1997-12-07 18:00:00,1997-12-08 22:00:00,29,0.05214266853948458,0.029903145655989647,0.05512164181958788,0.021159477531909943,0.09440579170242269,0.22786261235494717
